"YEAR","JURISDICTION","LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES","DETECTION_GROUP"
2024,"NSW","Inner Regional Australia","0-16","unlicensed_driving","Not applicable",2,0,17,"Unknown"
2024,"NSW","Inner Regional Australia","17-25","unlicensed_driving","Not applicable",26,0,131,"Unknown"
2024,"NSW","Inner Regional Australia","26-39","unlicensed_driving","Not applicable",63,0,274,"Unknown"
2024,"NSW","Inner Regional Australia","40-64","unlicensed_driving","Not applicable",43,0,161,"Unknown"
2024,"NSW","Inner Regional Australia","65 and over","unlicensed_driving","Not applicable",3,0,14,"Unknown"
2024,"NSW","Major Cities of Australia","0-16","unlicensed_driving","Not applicable",1,0,18,"Unknown"
2024,"NSW","Major Cities of Australia","17-25","unlicensed_driving","Not applicable",155,0,427,"Unknown"
2024,"NSW","Major Cities of Australia","26-39","unlicensed_driving","Not applicable",188,0,633,"Unknown"
2024,"NSW","Major Cities of Australia","40-64","unlicensed_driving","Not applicable",93,0,398,"Unknown"
2024,"NSW","Major Cities of Australia","65 and over","unlicensed_driving","Not applicable",6,0,25,"Unknown"
